# time 	 position 	 vanHove 
101	12.7238	0.0230321
101	13.1579	0
101	13.5921	0.0230321
101	14.0263	0
101	14.4605	0.0230321
101	14.8946	0
101	15.3288	0.0230321
101	15.763	0.0230321
101	16.1972	0
101	16.6314	0
101	17.0655	0
101	17.4997	0
101	17.9339	0
101	18.3681	0
111	-24.8229	0.0222681
111	-24.3738	0
111	-23.9248	0
111	-23.4757	0
111	-23.0266	0.0222681
111	-22.5775	0
111	-22.1285	0
111	-21.6794	0
111	-21.2303	0
111	-20.7812	0.0222681
111	-20.3322	0.0222681
111	-19.8831	0
111	-19.434	0
111	-18.985	0.0222681
111	-18.5359	0.0222681
111	-18.0868	0
111	-17.6377	0
111	-17.1887	0
111	-16.7396	0
111	-16.2905	0
111	-15.8415	0.0222681
111	-15.3924	0.0222681
111	-14.9433	0
111	-14.4942	0.0445363
111	-14.0452	0.0222681
111	-13.5961	0.0668044
111	-13.147	0
111	-12.698	0.0222681
111	-12.2489	0.0222681
111	-11.7998	0
111	-11.3507	0
111	-10.9017	0.0222681
111	-10.4526	0
111	-10.0035	0
111	-9.55445	0.0222681
111	-9.10538	0
111	-8.65631	0
111	-8.20724	0.0222681
111	-7.75816	0.0445363
111	-7.30909	0.0222681
111	-6.86002	0.0445363
111	-6.41095	0
111	-5.96188	0.0222681
111	-5.5128	0.0222681
111	-5.06373	0.0890726
111	-4.61466	0.0445363
111	-4.16559	0.0222681
111	-3.71652	0.0445363
111	-3.26744	0.0222681
111	-2.81837	0.0445363
111	-2.3693	0
111	-1.92023	0.0222681
111	-1.47116	0.0445363
111	-1.02208	0.0222681
111	-0.573012	0.0445363
111	-0.12394	0.111341
111	0.325132	0.178145
111	0.774204	0.0222681
111	1.22328	0.0222681
111	1.67235	0.0668044
111	2.12142	0.0890726
111	2.57049	0
111	3.01956	0.0445363
111	3.46864	0.0222681
111	3.91771	0
111	4.36678	0
111	4.81585	0.0445363
111	5.26492	0.0445363
111	5.71399	0.0668044
111	6.16307	0.0222681
111	6.61214	0.0222681
111	7.06121	0.0668044
111	7.51028	0.0445363
111	7.95935	0
111	8.40843	0.0445363
111	8.8575	0
111	9.30657	0
111	9.75564	0.0222681
111	10.2047	0.0445363
111	10.6538	0.0222681
111	11.1029	0.0445363
111	11.5519	0.0445363
111	12.001	0.0222681
111	12.4501	0
111	12.8991	0.0222681
111	13.3482	0
111	13.7973	0.0222681
111	14.2464	0
111	14.6954	0
111	15.1445	0
111	15.5936	0
111	16.0426	0
111	16.4917	0.0222681
111	16.9408	0
111	17.3899	0
111	17.8389	0.0222681
111	18.288	0.0222681
111	18.7371	0
111	19.1862	0
111	19.6352	0
121	-21.7465	0.0239688
121	-21.3293	0
121	-20.9121	0
121	-20.4949	0.0239688
121	-20.0777	0
121	-19.6605	0.0239688
121	-19.2433	0.0239688
121	-18.826	0.0239688
121	-18.4088	0
121	-17.9916	0
121	-17.5744	0
121	-17.1572	0
121	-16.74	0.0239688
121	-16.3228	0
121	-15.9056	0.0239688
121	-15.4884	0
121	-15.0712	0
121	-14.6539	0.0239688
121	-14.2367	0
121	-13.8195	0.0239688
121	-13.4023	0.0719063
121	-12.9851	0.0239688
121	-12.5679	0.0239688
121	-12.1507	0
121	-11.7335	0
121	-11.3163	0.0239688
121	-10.8991	0.0239688
121	-10.4818	0
121	-10.0646	0
121	-9.64743	0.0239688
121	-9.23022	0.0239688
121	-8.81301	0.0719063
121	-8.3958	0.0239688
121	-7.97859	0
121	-7.56138	0.0239688
121	-7.14417	0.0719063
121	-6.72696	0
121	-6.30975	0
121	-5.89254	0.0239688
121	-5.47533	0.0479375
121	-5.05812	0.0719063
121	-4.64091	0.0239688
121	-4.2237	0.0239688
121	-3.80649	0.0239688
121	-3.38928	0
121	-2.97207	0.0239688
121	-2.55486	0.0479375
121	-2.13765	0.0479375
121	-1.72044	0
121	-1.30323	0
121	-0.88602	0.0479375
121	-0.46881	0.0239688
121	-0.0516003	0.0719063
121	0.36561	0.167781
121	0.782819	0
121	1.20003	0.0239688
121	1.61724	0.0479375
121	2.03445	0
121	2.45166	0.095875
121	2.86887	0.0479375
121	3.28608	0.0479375
121	3.70329	0.0239688
121	4.1205	0.0239688
121	4.53771	0.0719063
121	4.95492	0.0239688
121	5.37213	0.0239688
121	5.78934	0.095875
121	6.20655	0
121	6.62376	0.0479375
121	7.04097	0.0479375
121	7.45818	0
121	7.87539	0.0479375
121	8.2926	0.0479375
121	8.70981	0
121	9.12702	0
121	9.54423	0.0719063
121	9.96144	0.0479375
121	10.3786	0
121	10.7959	0.0479375
121	11.2131	0.0239688
121	11.6303	0.0239688
121	12.0475	0.0239688
121	12.4647	0.0239688
121	12.8819	0
121	13.2991	0
121	13.7163	0.0479375
121	14.1335	0.0239688
121	14.5507	0.0239688
121	14.968	0
121	15.3852	0
121	15.8024	0
121	16.2196	0.0239688
121	16.6368	0
121	17.054	0
121	17.4712	0
121	17.8884	0
121	18.3056	0
121	18.7228	0
121	19.1401	0
121	19.5573	0
131	-20.8105	0.0248161
131	-20.4076	0
131	-20.0046	0
131	-19.6016	0
131	-19.1987	0.0248161
131	-18.7957	0
131	-18.3927	0
131	-17.9898	0
131	-17.5868	0
131	-17.1838	0
131	-16.7809	0.0248161
131	-16.3779	0
131	-15.9749	0.0248161
131	-15.572	0
131	-15.169	0.0248161
131	-14.766	0.0248161
131	-14.3631	0.0248161
131	-13.9601	0
131	-13.5571	0.0496321
131	-13.1542	0
131	-12.7512	0.0744482
131	-12.3483	0.0248161
131	-11.9453	0.0248161
131	-11.5423	0.0248161
131	-11.1394	0.0744482
131	-10.7364	0
131	-10.3334	0
131	-9.93047	0
131	-9.5275	0
131	-9.12454	0
131	-8.72157	0
131	-8.31861	0.0496321
131	-7.91564	0
131	-7.51268	0.0744482
131	-7.10971	0.0744482
131	-6.70675	0.0992642
131	-6.30378	0
131	-5.90082	0.0496321
131	-5.49785	0.0496321
131	-5.09489	0.0496321
131	-4.69192	0
131	-4.28896	0.0248161
131	-3.88599	0.0248161
131	-3.48303	0
131	-3.08006	0.0248161
131	-2.6771	0
131	-2.27413	0.0744482
131	-1.87117	0.0248161
131	-1.4682	0.0248161
131	-1.06524	0
131	-0.662275	0.0248161
131	-0.25931	0.0496321
131	0.143655	0.198528
131	0.54662	0.0992642
131	0.949585	0.0496321
131	1.35255	0.0248161
131	1.75551	0
131	2.15848	0.0248161
131	2.56144	0.0496321
131	2.96441	0
131	3.36737	0
131	3.77034	0.0496321
131	4.1733	0.0248161
131	4.57627	0.0248161
131	4.97923	0.0248161
131	5.3822	0.0496321
131	5.78516	0.0248161
131	6.18813	0.0496321
131	6.59109	0.0248161
131	6.99406	0.0248161
131	7.39702	0.0496321
131	7.79999	0.0248161
131	8.20295	0
131	8.60592	0
131	9.00888	0.0248161
131	9.41185	0
131	9.81481	0.0992642
131	10.2178	0.0248161
131	10.6207	0.0248161
131	11.0237	0
131	11.4267	0
131	11.8296	0.0248161
131	12.2326	0.0496321
131	12.6356	0.0248161
131	13.0385	0.0248161
131	13.4415	0
131	13.8445	0
131	14.2474	0.0248161
131	14.6504	0.0496321
131	15.0534	0
131	15.4563	0.0248161
131	15.8593	0.0248161
131	16.2622	0.0248161
131	16.6652	0
131	17.0682	0
131	17.4711	0
131	17.8741	0
131	18.2771	0
131	18.68	0.0248161
