# time 	 <x**4> 	 <x**2> 
362	324177	312.162
363	314987	309.297
364	314659	308.732
365	306870	304.102
366	313487	306.39
367	317826	309.245
368	320312	310.755
369	315295	309.951
370	316255	309.856
371	324492	312.218
372	322118	309.828
373	325650	313.296
374	327581	315.804
375	315757	311.839
376	306536	306.901
377	307990	307.256
378	308784	308.824
379	310728	308.294
380	306019	308.736
381	293585	303.533
382	291667	301.763
383	298449	307.198
384	302009	308.048
385	311649	308.841
386	308480	306.924
387	315253	310.673
388	316277	309.965
389	325703	314.159
390	327481	315.687
391	326905	313.825
392	337329	318.497
393	338574	315.55
394	332513	312.942
395	340905	316.122
396	335054	316.384
397	347094	322.441
398	346213	322.653
399	347589	324.448
400	326132	315.464
401	332227	318.677
402	336600	320.859
403	345114	324.01
404	338290	319.843
405	348357	323.118
406	341353	322.191
407	346782	324.133
408	351019	321.654
409	353838	323.939
410	367589	328.619
411	368785	328.091
412	376765	331.2
413	371541	329.773
414	366152	326.895
415	379295	328.855
416	375187	328.851
417	375628	329.604
418	380545	331.134
419	385120	335.4
420	390654	341.518
421	391411	339.603
422	392222	340.624
423	395528	341.606
424	410854	345.191
425	412988	345.22
426	420244	343.934
427	422248	343.229
428	437729	345.338
429	447151	345.303
430	452765	345.425
431	450751	345.963
432	452653	344.37
433	457188	344.859
434	465966	349.828
435	477744	350.64
436	472663	350.724
437	452497	347.872
438	449565	349.141
439	463738	349.043
440	465359	352.733
441	474412	352.868
442	473810	354.203
443	476098	356.363
444	467595	355.469
445	456701	352.378
446	448137	353.258
447	454901	355.647
448	459020	354.313
449	449861	349.225
450	450658	349.697
451	434533	343.431
452	417809	338.908
453	414923	338.485
454	414981	339.698
455	391765	334.578
456	386751	334.371
457	388545	336.683
458	388037	333.443
459	388173	332.668
460	388800	332.625
461	406783	337.519
462	413635	340.338
463	414441	342.229
464	403898	336.319
465	398687	334.37
466	386783	328.614
467	386194	331.405
468	393512	334.507
469	390183	335.457
470	387001	335.223
471	380324	333.978
472	376433	331.911
473	387655	335.872
474	405365	343.865
475	416709	350.293
476	406722	348.317
477	407623	348.726
478	410978	350.341
479	424768	357.413
480	445517	362.936
481	451248	367.77
482	454965	369.817
483	464663	373.766
484	447996	369.902
485	465329	373.714
486	459260	369.801
487	466993	373.588
488	495782	378.82
489	503538	383.651
490	488292	377.757
491	486766	376.436
492	499778	375.905
493	504734	377.026
494	480238	370.105
495	466941	369.257
496	444991	364.821
497	438199	365.421
498	459393	369.909
499	457483	369.846
500	452193	368.088
501	460597	372.833
502	479979	376.173
503	477347	374.762
504	475396	376.609
505	470482	379.489
506	479480	381.495
507	477687	382.065
508	452312	374.443
509	441125	371.992
510	452567	376.784
511	454352	379.173
512	482360	386.521
513	473612	383.995
514	477334	382.124
515	480746	381.458
516	477984	377.577
517	491684	378.45
518	499979	381.947
519	507453	385.385
520	510163	386.113
521	538715	394.542
522	515855	389.457
523	520323	387.151
524	517895	388.09
525	521012	386.596
526	531944	383.922
527	529692	383.637
528	513630	378.461
529	526333	386.595
530	543905	387.405
531	525656	383.503
532	530572	382.63
533	540168	381.393
534	533173	383.168
535	556812	392.333
536	529025	389.303
537	535389	391.485
538	496192	387.525
539	510565	387.738
540	519945	390.933
541	528338	393.689
542	520802	393.365
543	531863	391.194
544	538344	395.868
545	536982	395.83
546	543862	395.072
547	553989	401.717
548	573890	406.636
549	578882	408.841
550	592246	417.955
551	569265	412.964
552	593264	416.098
553	604709	418.8
554	601744	422.684
555	637948	429.714
556	646080	428.473
557	643155	428.66
558	677991	435.914
559	679562	434.683
560	662140	428.309
561	654896	427.732
562	661751	427.553
563	667296	426.312
564	673617	426.587
565	700083	432.856
566	690908	428.755
567	684205	431.223
568	698027	429.986
569	742287	438.295
570	761380	443.278
571	786142	446.98
572	764012	445.037
573	737098	440.256
574	746664	443.033
575	726677	440.802
576	762593	439.312
577	759590	437.208
578	764998	439.989
579	754331	440.255
580	738976	438.111
581	704935	436.728
582	711461	439.434
583	697064	437.721
584	711819	440.117
585	726989	438.021
586	735994	439.232
587	726513	435.982
588	744212	437.336
589	759304	442.525
590	792439	449.617
591	799148	451.003
592	811666	456.254
593	831601	458.605
594	833173	457.487
595	820172	456.511
596	826236	458.949
597	836992	463.185
598	827211	467.166
599	835648	471.971
600	803567	465.92
601	782679	460.798
602	780200	462.334
603	776709	459.712
604	807586	464.603
605	816525	466.931
606	814170	467.633
607	819549	465.912
608	808082	464.556
609	841128	467.598
610	859424	463.755
611	861001	463.179
612	817543	461.027
613	796598	453.941
614	794181	453.308
615	786657	454.683
616	767643	454.728
617	781354	459.202
618	775509	458.315
619	783844	459.365
620	777346	459.861
621	788286	461.604
622	813302	466.77
623	817334	465.019
624	804059	465.307
625	815683	469.237
626	866991	475.402
627	926349	484.511
628	906798	485.381
629	951835	491.854
630	947292	489.855
631	921446	486.168
632	898139	488.849
633	901960	491.336
634	884705	490.554
635	899417	486.759
636	879127	485.064
637	903972	486.44
638	936126	492.809
639	953930	491.203
640	959909	489.74
641	929475	483.203
642	936107	481.611
643	908171	480.417
644	916167	482.787
645	900033	478.406
646	886723	479.459
647	867500	482.609
648	855265	479.892
649	843209	474.784
650	837104	474.901
651	807313	470.661
652	837693	476.221
653	848352	479.527
654	847741	478.577
655	851090	481.697
656	887522	484.975
657	916153	489.629
658	933483	493.806
659	905496	489.097
660	870664	486.286
661	885421	490.155
662	887946	491.136
663	909227	493.91
664	891495	489.967
665	953285	495.425
666	922833	491.007
667	902365	492.76
668	937950	495.54
669	925968	497.901
670	910222	497.863
671	884124	490.837
672	918818	491.921
673	883276	487.471
674	884863	493.776
675	900867	497.535
676	908936	495.107
677	896849	489.427
678	884276	491.92
679	835186	489.742
680	852202	493.907
681	843137	492.608
682	818819	489.121
683	829672	488.931
684	853139	493.553
685	829150	493.936
686	851281	501.947
687	858860	502.341
688	891435	512.432
689	892765	515.38
690	891640	516.32
691	866053	509.312
692	860290	506.45
693	879845	511.695
694	906484	516.606
695	891425	513.786
696	903829	518.326
697	900070	521.421
698	881278	522.864
699	887370	522.023
700	874809	520.433
701	857077	519.097
702	867894	520.502
703	867149	519.937
704	898245	528.983
705	854337	519.528
706	829492	516.22
707	818545	516.527
708	809781	510.227
709	796935	510.455
710	791742	509.861
711	784487	507.935
712	766220	508.522
713	795587	509.881
714	776672	505.613
715	756662	501.12
716	764740	499.864
717	770278	506.644
718	787891	506.168
719	781299	507.964
720	757136	501.413
721	759377	503.396
722	748425	506.164
723	753106	508.195
724	747210	510.511
725	735002	511.4
726	737076	514.218
727	729072	509.18
728	724526	509.559
729	730139	510.587
730	714331	511.879
731	717318	511.579
732	707281	512.917
733	703881	514.22
734	701803	514.05
735	745446	523.261
736	747630	526.531
737	754936	532.715
738	752768	532.605
739	751186	530.839
740	761012	529.384
741	741542	524.129
742	749672	527.617
743	760802	530.38
744	760753	531.49
745	771518	532.901
746	771432	533.146
747	769553	531.781
748	754222	531.508
749	782127	542.837
750	779641	544.496
751	789274	547.022
